Year,Precip
1950,864.16
1951,885.44
1952,906.78
1953,890.79
1954,867.72
1955,807.79
1956,884.81
1957,869.92
1958,899.57
1959,936.61
1960,891.03
1961,864
1962,933.87
1963,857.38
1964,833.82
1965,904.92
1966,942.04
1967,884.32
1968,929.34
1969,877.54
1970,836.89
1971,888.41
1972,832.34
1973,903.34
1974,869.82
1975,855.08
1976,873.15
1977,894.5
1978,813.29
1979,916.1
1980,908.54
1981,842.1
1982,913.08
1983,896.93
1984,811.91
1985,861.53
1986,880.05
1987,973.94
1988,905.63
1989,923.86
1990,920.48
1991,877.89
1992,898.22
1993,868.91
1994,909.61
1995,887.8
1996,931.78
1997,923.02
1998,890.12
1999,961.21
2000,909.07
2001,979.87
2002,901.09
2003,930.68
2004,953.36
2005,952.1
