,Precip
Jan-95,112.5
Feb-95,34.5
Mar-95,35.5
Apr-95,46.8
May-95,53.3
Jun-95,74.6
Jul-95,135.4
Aug-95,69.2
Sep-95,38.4
Oct-95,133.8
Nov-95,131.3
Dec-95,49.7
Jan-96,104.9
Feb-96,40.8
Mar-96,52
Apr-96,136.3
May-96,130.4
Jun-96,147.9
Jul-96,85.4
Aug-96,50.8
Sep-96,181.4
Oct-96,102.2
Nov-96,71.4
Dec-96,87.6
Jan-97,75.6
Feb-97,80.6
Mar-97,89.8
Apr-97,38
May-97,77.4
Jun-97,100
Jul-97,36.8
Aug-97,84.5
Sep-97,95.6
Oct-97,60.2
Nov-97,77.7
Dec-97,26.2
Jan-98,119.7
Feb-98,60.1
Mar-98,101.6
Apr-98,60.8
May-98,64.2
Jun-98,94.1
Jul-98,93.6
Aug-98,27.6
Sep-98,56.6
Oct-98,43
Nov-98,37.1
Dec-98,31.4
Jan-99,99.8
Feb-99,26.5
Mar-99,39.7
Apr-99,71.6
May-99,56.4
Jun-99,36.4
Jul-99,84.6
Aug-99,63.4
Sep-99,135.9
Oct-99,99.3
Nov-99,66.4
Dec-99,56.1
Jan-00,20.5
Feb-00,113
Mar-00,108.8
Apr-00,193.7
May-00,46.6
Jun-00,71
Jul-00,100.6
Aug-00,35
Sep-00,52.1
Oct-00,75.9
Nov-00,28.7
Dec-00,43
Jan-01,59
Feb-01,48.7
Mar-01,100.7
Apr-01,50
May-01,24.8
Jun-01,40
Jul-01,65.8
Aug-01,86.5
Sep-01,83.8
Oct-01,82.7
Nov-01,51.2
Dec-01,30
Jan-02,79.8
Feb-02,102
Mar-02,101.5
Apr-02,53.6
May-02,58.4
Jun-02,19
Jul-02,52.9
Aug-02,83.2
Sep-02,69.5
Oct-02,50.7
Nov-02,40
Dec-02,53.7
Jan-03,59.7
Feb-03,34.7
Mar-03,153.4
Apr-03,43.6
May-03,124.3
Jun-03,67.2
Jul-03,117.6
Aug-03,57.8
Sep-03,126
Oct-03,55
Nov-03,71.7
Dec-03,31
Jan-04,68.6
Feb-04,134.8
Mar-04,161.1
Apr-04,60.6
May-04,135.6
Jun-04,57.4
Jul-04,4.4
Aug-04,36.2
Sep-04,100.5
Oct-04,89.1
